game_date,game_id,team,opponent,home_away,NFL 1,NFL 2,NFL 3,NFL 4,NFL 5,NFL 6,NFL 7,NFL 8,NFL 9,NFL 10,NFL 11,NFL 12,NFL 13,NFL 14,NFL 15,NFL 16,NFL 17,NFL 18,NFL 19,NFL 20,NFL 21,NFL 22,NFL 23,NFL 24,NFL 25,NFL 26,NFL 27,NFL 28,NFL 29,NFL 30,NFL 31,NFL 32,NFL 33,NFL 34,NFL 35,NFL 36
2025-11-02,401772765,CIN,CHI,H,63.96,19.33,83.33,81.25,24.0,-0.556,0.889,0.444,1.444,5.222,244.44,78.78,244.44,40.37,133.78,26.89,,0.222,1.444,,,,1.0,5.222,35.33,0.0,,,100.0,2.556,2.556,58.61,52.79,,,90.0
2025-11-02,401772765,CHI,CIN,A,60.87,20.89,42.86,83.33,26.56,1.556,1.444,0.222,2.333,8.222,241.0,147.33,242.78,41.38,111.89,15.89,,0.778,2.333,,,,2.222,8.222,66.78,0.0,,,100.0,2.556,2.556,60.41,48.17,,,90.0
2025-11-02,401772871,DET,MIN,H,73.55,20.44,72.22,75.0,31.44,0.667,0.889,0.333,3.333,6.111,248.67,136.33,248.67,37.5,96.22,16.33,,1.0,3.333,,,,1.333,6.111,43.56,0.0,,,97.06,3.778,3.667,59.7,47.25,,,90.0
2025-11-02,401772871,MIN,DET,A,60.84,17.78,53.85,90.0,22.33,-0.778,0.333,0.556,2.667,8.333,220.22,102.11,220.22,31.82,122.67,13.33,,1.222,2.667,,,,1.0,8.333,65.67,0.0,,,100.0,1.889,1.889,59.37,47.86,,,90.0
2025-11-02,401772872,GB,CAR,H,68.88,20.56,64.29,71.43,23.67,-0.111,0.333,0.444,2.444,7.333,249.67,111.89,249.67,47.79,85.44,18.0,,0.444,2.444,,,,0.667,7.333,54.22,0.0,,,95.65,2.556,2.444,63.02,51.15,,,90.0
2025-11-02,401772872,CAR,GB,A,62.42,19.8,68.18,82.35,17.7,-0.5,0.7,0.7,1.6,5.2,180.7,133.1,180.7,37.19,84.8,29.3,,0.2,1.6,,,,1.0,5.2,41.4,0.0,,,83.33,1.8,1.5,57.32,47.97,,,90.0
2025-11-02,401772764,TEN,LAC,H,57.63,15.22,35.71,78.26,14.44,-0.333,0.556,0.778,2.444,6.778,195.56,81.22,195.56,28.45,123.11,20.11,,0.222,2.444,,,,1.111,6.778,52.67,0.0,,,90.91,1.222,1.111,59.11,45.83,,,90.0
2025-11-02,401772764,LAC,TEN,A,67.13,21.4,72.73,92.0,24.0,-0.1,0.9,0.4,2.9,7.1,265.4,123.1,265.4,47.55,93.6,20.9,,0.5,2.9,,,,1.1,7.1,50.0,0.0,,,100.0,2.3,2.3,61.68,49.07,,,90.0
2025-11-02,401772763,NE,ATL,H,71.53,20.2,80.0,92.86,26.5,-0.1,0.7,0.7,2.2,7.2,253.4,117.7,256.7,42.02,88.4,20.8,,0.5,2.2,,,,1.1,7.2,56.5,0.0,,,93.33,3.0,2.8,58.48,47.17,,,90.0
2025-11-02,401772763,ATL,NE,A,60.07,19.33,44.44,77.78,18.67,0.556,0.889,0.556,3.222,5.444,223.22,119.33,223.22,33.65,100.78,16.11,,1.111,3.222,,,,1.444,5.444,42.33,0.0,,,94.12,1.889,1.778,60.49,44.3,,,90.0
